network,bn_size_config,transaction_type,transaction_hash,gas_used,block_number,claim_id,profile,notes
Sepolia,4,openClaim,620801f7a604c92a3ce6342a18efa6f3cf1c53794f0c8a2db3ed6ddcd0c07a4a,173436,10930964,0,neutral,run_0
Sepolia,4,submitInference,b00fba20e301cc57be37b73c36cbdc818429dda9decc8c1c035eddd51e766901,239587,10930965,0,neutral,run_0_snap_10930963
Sepolia,4,openClaim,d056f432ebe67f2daa026467db4931a6f5dd88c5bde6863cbbe58830d2a92f03,196112,10930966,1,neutral,run_1
Sepolia,4,submitInference,b41125ad3113b9792854346f4a5778ce5077da3c6efb7a5949aed37cb4d762ea,242399,10930967,1,neutral,run_1_snap_10930965
Sepolia,4,openClaim,b84988cc293153cc44609527b8aaa355107f835d58f66efd6d22e4561cf98467,196136,10930968,2,neutral,run_2
Sepolia,4,submitInference,11cfdaccade3c1e7c68749e50620325b41e7d945f9511216f00ba4516c0425e9,242399,10930969,2,neutral,run_2_snap_10930967
Sepolia,4,openClaim,0fbb3f780187feabf69ae24f2f5b06130d6991dc07f1727541485a5b2d42a4f4,196136,10930970,3,neutral,run_3
Sepolia,4,submitInference,d8843bb04152bb75c56d71b6c252514e8a44961c66c2cd8784d76bb0da4ea31e,242399,10930971,3,neutral,run_3_snap_10930969
Sepolia,4,openClaim,9d0eac5ed9241722d1b9bf642b14516c917598c674ea2b93e6bd64812d78b4bc,196136,10930972,4,neutral,run_4
Sepolia,4,submitInference,a7b6e2e2ebb5323b969ee730e7f1637ee7189668f0e579e020637ebeca91179b,242399,10930973,4,neutral,run_4_snap_10930971
Sepolia,4,openClaim,994dd9d8ceb3d1ee4ee55fce8b4cab43a3e2aafd8e9d23aa638bd4279ef7319a,196136,10930974,5,neutral,run_5
Sepolia,4,submitInference,052b1b71008caace2ee3a9ed1aa3b5f828ad999c8f421f761d761f0220174ad5,242399,10930975,5,neutral,run_5_snap_10930973
Sepolia,4,openClaim,ef725f11c722e1e235d1de7c7c14eb617d6ec5f5e2eb6d163312123dd57429b1,196136,10930976,6,neutral,run_6
Sepolia,4,submitInference,51167d7936a5cd7487a3a973efb2a82b261f4a2eed2e452108569ab3441236ab,242399,10930977,6,neutral,run_6_snap_10930975
Sepolia,4,openClaim,4c9d75e3dac62cd0403427442865d5e74c3920451739177cb81258678c56576d,196136,10930978,7,neutral,run_7
Sepolia,4,submitInference,3d69076ace0b2aa21d8c66b373720183d21b18e647701d3ea8d55b9ba159bbf1,242399,10930979,7,neutral,run_7_snap_10930977
